YYYYMMDDHH,VMAX,LAT,LON,STORMNAME
202104211800,35.5,19.2,124.6,SURIGAE
202104211900,35.75,19.28333333333333,124.61666666666666,SURIGAE
202104212000,36.0,19.366666666666667,124.63333333333333,SURIGAE
202104212100,36.25,19.45,124.65,SURIGAE
202104212200,36.5,19.53333333333333,124.66666666666667,SURIGAE
202104212300,36.75,19.616666666666667,124.68333333333334,SURIGAE
202104220000,37.0,19.7,124.7,SURIGAE
202104220100,36.75,19.816666666666666,124.75,SURIGAE
202104220200,36.5,19.933333333333334,124.8,SURIGAE
202104220300,36.25,20.049999999999997,124.85,SURIGAE
202104220400,36.0,20.166666666666664,124.9,SURIGAE
202104220500,35.75,20.28333333333333,124.95,SURIGAE
202104220600,35.5,20.4,125.0,SURIGAE
202104220700,35.666666666666664,20.516666666666666,125.15,SURIGAE
202104220800,35.833333333333336,20.633333333333333,125.3,SURIGAE
202104220900,36.0,20.75,125.45,SURIGAE
202104221000,36.166666666666664,20.866666666666667,125.60000000000001,SURIGAE
202104221100,36.333333333333336,20.983333333333334,125.75,SURIGAE
202104221200,36.5,21.1,125.9,SURIGAE
202104221300,36.666666666666664,21.183333333333334,126.05000000000001,SURIGAE
202104221400,36.833333333333336,21.26666666666667,126.2,SURIGAE
202104221500,37.0,21.35,126.35,SURIGAE
202104221600,37.166666666666664,21.433333333333334,126.5,SURIGAE
202104221700,37.333333333333336,21.51666666666667,126.65,SURIGAE
202104221800,37.5,21.6,126.8,SURIGAE
202104221900,36.65,21.700000000000003,126.96666666666667,SURIGAE
202104222000,35.8,21.8,127.13333333333333,SURIGAE
202104222100,34.95,21.9,127.3,SURIGAE
202104222200,34.1,22.0,127.46666666666667,SURIGAE
202104222300,33.25,22.1,127.63333333333333,SURIGAE
202104230000,32.4,22.2,127.8,SURIGAE
202104230100,32.31666666666666,22.3,127.98333333333333,SURIGAE
202104230200,32.233333333333334,22.4,128.16666666666666,SURIGAE
202104230300,32.15,22.5,128.35,SURIGAE
202104230400,32.06666666666666,22.6,128.53333333333333,SURIGAE
202104230500,31.98333333333333,22.7,128.71666666666667,SURIGAE
202104230600,31.9,22.8,128.9,SURIGAE
202104230700,31.98333333333333,22.783333333333335,129.08333333333334,SURIGAE
202104230800,32.06666666666666,22.766666666666666,129.26666666666668,SURIGAE
202104230900,32.15,22.75,129.45,SURIGAE
202104231000,32.233333333333334,22.733333333333334,129.63333333333333,SURIGAE
202104231100,32.31666666666666,22.716666666666665,129.81666666666666,SURIGAE
202104231200,32.4,22.7,130.0,SURIGAE
202104231300,32.06666666666666,22.716666666666665,130.13333333333333,SURIGAE
202104231400,31.73333333333333,22.733333333333334,130.26666666666668,SURIGAE
202104231500,31.4,22.75,130.4,SURIGAE
202104231600,31.066666666666666,22.766666666666666,130.53333333333333,SURIGAE
202104231700,30.73333333333333,22.783333333333335,130.66666666666669,SURIGAE
202104231800,30.4,22.8,130.8,SURIGAE
202104231900,30.299999999999997,22.733333333333334,130.85000000000002,SURIGAE
202104232000,30.2,22.666666666666668,130.9,SURIGAE
202104232100,30.1,22.6,130.95,SURIGAE
202104232200,30.0,22.53333333333333,131.0,SURIGAE
202104232300,29.9,22.466666666666665,131.05,SURIGAE
202104240000,29.8,22.4,131.1,SURIGAE
202104240100,28.6,22.28333333333333,131.2,SURIGAE
202104240200,27.400000000000002,22.166666666666664,131.29999999999998,SURIGAE
202104240300,26.200000000000003,22.049999999999997,131.39999999999998,SURIGAE
202104240400,25.0,21.933333333333334,131.5,SURIGAE
202104240500,23.8,21.816666666666666,131.6,SURIGAE
202104240600,22.6,21.7,131.7,SURIGAE
202104240700,22.183333333333334,21.566666666666666,131.86666666666665,SURIGAE
202104240800,21.76666666666667,21.433333333333334,132.03333333333333,SURIGAE
202104240900,21.35,21.299999999999997,132.2,SURIGAE
202104241000,20.933333333333334,21.166666666666664,132.36666666666665,SURIGAE
202104241100,20.51666666666667,21.03333333333333,132.53333333333333,SURIGAE
202104241200,20.1,20.9,132.7,SURIGAE
202104241300,20.01666666666667,20.849999999999998,132.95,SURIGAE
202104241400,19.933333333333334,20.8,133.2,SURIGAE
202104241500,19.85,20.75,133.45,SURIGAE
202104241600,19.76666666666667,20.7,133.7,SURIGAE
202104241700,19.683333333333334,20.650000000000002,133.95,SURIGAE
202104241800,19.6,20.6,134.2,SURIGAE
202104241900,19.416666666666668,20.616666666666667,134.43333333333334,SURIGAE
202104242000,19.233333333333334,20.633333333333333,134.66666666666666,SURIGAE
202104242100,19.05,20.65,134.89999999999998,SURIGAE
202104242200,18.866666666666667,20.666666666666668,135.13333333333333,SURIGAE
202104242300,18.683333333333334,20.683333333333334,135.36666666666667,SURIGAE
202104250000,18.5,20.7,135.6,SURIGAE
202104250100,18.683333333333334,20.8,135.8,SURIGAE
202104250200,18.866666666666667,20.9,136.0,SURIGAE
202104250300,19.05,21.0,136.2,SURIGAE
202104250400,19.233333333333334,21.1,136.4,SURIGAE
202104250500,19.416666666666668,21.2,136.60000000000002,SURIGAE
202104250600,19.6,21.3,136.8,SURIGAE
202104250700,19.683333333333334,21.21666666666667,137.05,SURIGAE
202104250800,19.76666666666667,21.133333333333333,137.3,SURIGAE
202104250900,19.85,21.05,137.55,SURIGAE
202104251000,19.933333333333334,20.96666666666667,137.8,SURIGAE
202104251100,20.01666666666667,20.883333333333333,138.05,SURIGAE
202104251200,20.1,20.8,138.3,SURIGAE
202104251300,19.833333333333336,20.866666666666667,138.60000000000002,SURIGAE
202104251400,19.566666666666666,20.933333333333334,138.9,SURIGAE
202104251500,19.3,21.0,139.2,SURIGAE
202104251600,19.033333333333335,21.066666666666666,139.5,SURIGAE
202104251700,18.766666666666666,21.133333333333333,139.8,SURIGAE
202104251800,18.5,21.2,140.1,SURIGAE
202104251900,18.683333333333334,21.35,140.38333333333333,SURIGAE
202104252000,18.866666666666667,21.5,140.66666666666666,SURIGAE
202104252100,19.05,21.65,140.95,SURIGAE
202104252200,19.233333333333334,21.8,141.23333333333335,SURIGAE
202104252300,19.416666666666668,21.950000000000003,141.51666666666668,SURIGAE
202104260000,19.6,22.1,141.8,SURIGAE
202104260100,20.96666666666667,22.46666666666667,142.23333333333335,SURIGAE
202104260200,22.333333333333336,22.833333333333336,142.66666666666669,SURIGAE
202104260300,23.700000000000003,23.200000000000003,143.10000000000002,SURIGAE
202104260400,25.066666666666666,23.566666666666666,143.53333333333333,SURIGAE
202104260500,26.433333333333334,23.933333333333334,143.96666666666667,SURIGAE
202104260600,27.8,24.3,144.4,SURIGAE
202104260700,27.533333333333335,24.3,144.71666666666667,SURIGAE
202104260800,27.266666666666666,24.3,145.03333333333333,SURIGAE
202104260900,27.0,24.3,145.35000000000002,SURIGAE
202104261000,26.733333333333334,24.3,145.66666666666669,SURIGAE
202104261100,26.466666666666665,24.3,145.98333333333335,SURIGAE
202104261200,26.2,24.3,146.3,SURIGAE
202104261300,28.266666666666666,24.566666666666666,146.81666666666666,SURIGAE
202104261400,30.333333333333332,24.833333333333332,147.33333333333334,SURIGAE
202104261500,32.4,25.1,147.85000000000002,SURIGAE
202104261600,34.46666666666667,25.366666666666667,148.36666666666667,SURIGAE
202104261700,36.53333333333333,25.633333333333333,148.88333333333333,SURIGAE
202104261800,38.6,25.9,149.4,SURIGAE
